detailed_work_activity,impact,intermediate_work_activity,element
Create graphical representations of civil structures.,0.014529076927208173,Create visual designs or displays.,Thinking Creatively
Create graphical representations of energy production systems.,0.0,Create visual designs or displays.,Thinking Creatively
Create graphical representations of industrial production systems.,0.021667018037461183,Create visual designs or displays.,Thinking Creatively
Create graphical representations of mechanical equipment.,-0.2541521166951468,Create visual designs or displays.,Thinking Creatively
Create graphical representations of structures or landscapes.,0.11840169081709861,Create visual designs or displays.,Thinking Creatively
"Create images of data, locations, or products.",-0.09868270497163234,Create visual designs or displays.,Thinking Creatively
Create images or other visual displays.,0.0426353976185192,Create visual designs or displays.,Thinking Creatively
Create maps.,-0.1782749094381164,Create visual designs or displays.,Thinking Creatively
Create marketing materials.,0.11770464608122921,Develop marketing or promotional materials.,Thinking Creatively
Create models of engineering designs or methods.,0.265634185734414,"Develop models of systems, processes, or products.",Thinking Creatively
"Create musical compositions, arrangements or scores.",-0.04555565226697045,Create artistic designs or performances.,Thinking Creatively
Create new recipes or food presentations.,0.03623804425064314,Develop recipes or menus.,Thinking Creatively
Create physical models or prototypes.,-0.20164637123351437,"Develop models of systems, processes, or products.",Thinking Creatively
Create schematic drawings for electronics.,-0.36462290899523486,Create visual designs or displays.,Thinking Creatively
Create technology-based learning materials.,0.05258527339177066,Prepare informational or instructional materials.,Documenting/Recording Information
Cultivate land.,0.10839778621089025,Perform agricultural activities.,Performing General Physical Activities
"Cultivate lawns, turf, or gardens.",-0.006696056276893625,Perform agricultural activities.,Performing General Physical Activities
Customize energy products or services to meet customer needs.,-0.040245007164408264,Sell products or services.,Selling or Influencing Others
Customize financial products or services to meet customer needs.,-0.03990357056674343,Sell products or services.,Selling or Influencing Others
"Cut carpet, vinyl or other flexible materials.",-0.14713510417928743,Cut materials.,Handling and Moving Objects
Cut cooked or raw foods.,0.0358178470653252,Prepare foods or beverages.,Handling and Moving Objects
Cut fabrics.,0.23557465652353482,Cut materials.,Handling and Moving Objects
Cut glass.,-0.014149001475275202,Cut materials.,Handling and Moving Objects
Cut industrial materials in preparation for fabrication or processing.,0.5226478850564154,Cut materials.,Handling and Moving Objects
Cut materials according to specifications or needs.,0.10462472433524006,Cut materials.,Handling and Moving Objects
Cut meat products.,0.3734007939592985,Prepare foods or beverages.,Handling and Moving Objects
Cut metal components for installation.,-0.06936515570010648,Cut materials.,Handling and Moving Objects
Cut openings in existing structures.,-0.0504720105515708,Cut materials.,Handling and Moving Objects
"Cut tile, stone, or other masonry materials.",-0.017693488850821115,Cut materials.,Handling and Moving Objects
Cut trees or logs.,0.0068155129929001745,Cut trees or other vegetation.,Handling and Moving Objects
Cut wood components for installation.,0.056788184103807815,Cut materials.,Handling and Moving Objects
Decontaminate equipment or sites to remove hazardous or toxic substances.,-0.042636534019789174,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Decorate indoor or outdoor spaces.,-0.12705990654665422,Arrange displays or decorations.,Handling and Moving Objects
Deliver items.,-0.9753671918187568,"Move materials, equipment, or supplies.",Performing General Physical Activities
Deliver promotional presentations to current or prospective customers.,0.6473296699063695,"Promote products, services, or programs.",Selling or Influencing Others
Demonstrate activity techniques or equipment use.,0.006879872457982827,Train others to use equipment or products.,Training and Teaching Others
Demonstrate products to consumers.,-0.13774855409553588,"Promote products, services, or programs.",Selling or Influencing Others
Design alternative energy systems.,-0.011544204857665719,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design civil structures or systems.,-0.022236268609340026,Design structures or facilities.,Thinking Creatively
Design computer modeling or simulation programs.,-0.0105189393652525,Design computer or information systems or applications.,Thinking Creatively
Design control systems for mechanical or other equipment.,-0.03489195049136207,Design industrial systems or equipment.,Thinking Creatively
Design costumes or cosmetic effects for characters.,0.06893010036094482,Create artistic designs or performances.,Thinking Creatively
Design electrical equipment or systems.,0.03029069139779894,Design electrical or electronic systems or equipment.,Thinking Creatively
Design electromechanical equipment or systems.,0.040944856522811435,Design electrical or electronic systems or equipment.,Thinking Creatively
Design electronic or computer equipment or instrumentation.,-0.012280699502041248,Design electrical or electronic systems or equipment.,Thinking Creatively
Design energy production or management equipment or systems.,0.08233395420380774,Design industrial systems or equipment.,Thinking Creatively
Design energy-efficient equipment or systems.,0.006629805378303377,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design energy-efficient vehicles or vehicle components.,0.0,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design environmental control systems.,-0.035379127095593876,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design healthcare-related software applications.,0.0,Design computer or information systems or applications.,Thinking Creatively
Design industrial equipment.,0.05876607639990539,Design industrial systems or equipment.,Thinking Creatively
Design industrial processing systems.,0.5587055226496513,Design industrial systems or equipment.,Thinking Creatively
Design integrated computer systems.,-0.20126466557396627,Design computer or information systems or applications.,Thinking Creatively
Design jewelry or decorative objects.,0.07744394352621198,Create artistic designs or performances.,Thinking Creatively
"Design layout of art or product exhibits, displays, or promotional materials.",0.18070204399587197,Create visual designs or displays.,Thinking Creatively
Design layouts for print publications.,0.013633384351320554,Create visual designs or displays.,Thinking Creatively
Design materials for industrial or commercial applications.,0.0,Design materials or devices.,Thinking Creatively
Design medical devices or appliances.,-0.00024284110267291936,Design materials or devices.,Thinking Creatively
"Design micro- or nano-scale materials, devices, or systems.",0.0,Design materials or devices.,Thinking Creatively
Design psychological or educational treatment procedures or programs.,-0.12169497949938002,"Develop educational programs, plans, or procedures.",Thinking Creatively
Design public or employee health programs.,0.40579215181080786,Develop public or community health programs.,Thinking Creatively
Design research studies to obtain scientific information.,-0.08470064421114554,Develop research plans or methodologies.,Thinking Creatively
Design software applications.,0.0499100767878895,Design computer or information systems or applications.,Thinking Creatively
Design structures or facilities.,0.03897252897712322,Design structures or facilities.,Thinking Creatively
Design systems to reduce harmful emissions.,0.016019121348222587,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design templates or patterns.,-0.6977957212112282,Design materials or devices.,Thinking Creatively
"Design tools, fixtures, or other devices for production equipment.",-0.26911664726028217,Design industrial systems or equipment.,Thinking Creatively
Design video game features or details.,0.18022944778876315,Design computer or information systems or applications.,Thinking Creatively
Design water conservation systems.,0.017195061536499523,Develop systems or practices to mitigate or resolve environmental problems.,Thinking Creatively
Design websites or web applications.,0.19041133234020347,Design computer or information systems or applications.,Thinking Creatively
Detain suspects or witnesses.,0.20883251697843752,Maintain safety or security.,Performing General Physical Activities
Determine appropriate locations for operations or installations.,-0.1104730309416544,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine appropriate methods for data analysis.,-0.007218014054594324,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine causes of operational problems or failures.,0.12492380335827358,Diagnose system or equipment problems.,Making Decisions and Solving Problems
Determine construction project layouts.,-0.02307998469719763,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine design criteria or specifications.,-0.025500636455679793,Develop technical specifications for products or operations.,Thinking Creatively
Determine food production methods.,-0.1720921962334354,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine forestry techniques or methods.,0.0,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine geographic coordinates.,-0.024902367983215434,Analyze environmental or geospatial data.,Analyzing Data or Information
Determine metal or plastic production methods.,-0.06236952930016404,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine methods to minimize environmental impact of activities.,-0.08647089672742414,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine operational compliance with regulations or standards.,-0.024415291470536893,Monitor operations to ensure compliance with regulations or standards.,"Monitor Processes, Materials, or Surroundings"
Determine operational criteria or specifications.,0.006161444440290875,Develop technical specifications for products or operations.,Thinking Creatively
Determine operational methods.,-0.37320373068470625,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine operational procedures.,0.038276592947384724,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine presentation subjects or content.,0.22980247479496496,"Develop news, entertainment, or artistic content.",Thinking Creatively
Determine prices for menu items.,-0.07606001877290325,Determine values or prices of goods or services.,Making Decisions and Solving Problems
Determine pricing or monetary policies.,-0.13813790628852463,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Determine production equipment settings.,-0.043744530784125324,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine protocols for medical procedures.,0.11902489285744178,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine resource needs.,-0.1278468245055988,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
Determine technical requirements of productions or projects.,0.37943184618973413,Determine operational methods or procedures.,Making Decisions and Solving Problems
Determine the value of goods or services.,0.25027439995682954,Determine values or prices of goods or services.,Making Decisions and Solving Problems
"Determine types of equipment, tools, or materials needed for jobs.",-0.06767400169348425,Determine resource needs of projects or operations.,Making Decisions and Solving Problems
Develop agricultural methods.,0.05786789911063339,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",1.3576668605424187,Create artistic designs or performances.,Thinking Creatively
Develop biological research methods.,0.026866873057952656,Develop research plans or methodologies.,Thinking Creatively
Develop business or financial information systems.,0.05372239690272629,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop business or market strategies.,0.053280792416753986,Develop business or marketing plans.,Thinking Creatively
Develop business relationships.,-0.5023679919429842,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
Develop collaborative relationships between departments or with external organizations.,-0.023078338610888594,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
Develop computer or information security policies or procedures.,0.2644253444897817,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop computer or information systems.,-0.2636089018519914,Design computer or information systems or applications.,Thinking Creatively
Develop computer or online applications.,0.03799141250460902,Design computer or information systems or applications.,Thinking Creatively
Develop content for sales presentations or other materials.,-0.08906857351239061,Develop marketing or promotional materials.,Thinking Creatively
Develop contingency plans to deal with organizational emergencies.,0.49433235602908887,Develop contingency or emergency response plans.,Thinking Creatively
Develop daily schedules for children or families.,-0.050063369298591454,Assist individuals with special needs.,Assisting and Caring for Others
Develop data analysis or data management procedures.,-0.07261450435743155,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop database parameters or specifications.,-0.055494447807050484,Design databases.,Thinking Creatively
Develop detailed project plans.,-0.1996387638416044,Plan work activities.,"Organizing, Planning, and Prioritizing Work"
Develop diagrams or flow charts of system operation.,-0.14218232848005297,Create visual designs or displays.,Thinking Creatively
"Develop educational goals, standards, policies, or procedures.",0.01978162945141948,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop educational or training programs.,-0.08194463096829008,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop educational policies.,-0.01738166279533715,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop educational programs.,-0.11525028195124642,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop emergency procedures.,0.03187165093441946,Develop contingency or emergency response plans.,Thinking Creatively
Develop emergency response plans or procedures.,0.05139210076749068,Develop contingency or emergency response plans.,Thinking Creatively
Develop environmental remediation or protection plans.,-0.006979685719576523,Develop plans for managing or preserving natural resources.,Thinking Creatively
Develop environmental research methods.,-0.06770020314717673,Develop research plans or methodologies.,Thinking Creatively
Develop environmental sustainability plans or projects.,-0.4430532081434113,Develop plans for managing or preserving natural resources.,Thinking Creatively
Develop equipment or component configurations.,-0.12369424966629206,Design industrial systems or equipment.,Thinking Creatively
Develop exercise or conditioning programs.,-0.00882714937690432,Develop patient or client care or treatment plans.,Thinking Creatively
Develop financial analysis methods.,-0.006459120381344885,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop financial or business plans.,0.05695304509535992,Develop financial or business plans.,Thinking Creatively
Develop financial plans for clients.,-0.22570114203668545,Develop financial or business plans.,Thinking Creatively
Develop fire safety or prevention programs or plans.,0.01225835570420264,"Develop safety standards, policies, or procedures.",Thinking Creatively
Develop guidelines for system implementation.,0.09160572099705133,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop health assessment methods or programs.,-0.005555794231023814,Develop health assessment methods or programs.,Thinking Creatively
Develop healthcare quality and safety procedures.,0.0,"Develop safety standards, policies, or procedures.",Thinking Creatively
Develop information communication procedures.,0.19473759256424428,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop instructional materials.,1.2383795280136223,Prepare informational or instructional materials.,Documenting/Recording Information
Develop instructional objectives.,-0.0013819972583681839,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop library or archival databases.,-0.11944066508632423,Design databases.,Thinking Creatively
Develop marketing plans or strategies for environmental initiatives.,-0.23870395949702994,Develop business or marketing plans.,Thinking Creatively
Develop marketing plans or strategies.,0.3648891107710872,Develop business or marketing plans.,Thinking Creatively
Develop mathematical models of environmental conditions.,0.01193014366692502,Develop scientific or mathematical theories or models.,Thinking Creatively
Develop medical treatment plans.,-0.03539498430066823,Develop patient or client care or treatment plans.,Thinking Creatively
Develop methods of social or economic research.,-0.14838636425604346,Develop research plans or methodologies.,Thinking Creatively
Develop models of information or communications systems.,-0.1351361329860179,"Develop models of systems, processes, or products.",Thinking Creatively
Develop new or advanced products or production methods.,-0.33006356481807053,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
"Develop operating strategies, plans, or procedures for green or sustainable operations.",0.009202323970598059,Develop sustainable organizational or business policies or practices.,Thinking Creatively
"Develop operating strategies, plans, or procedures.",-0.6418412132558831,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Develop operational methods or processes that use green materials or emphasize sustainability.,-0.180394460145882,Develop sustainable organizational or business policies or practices.,Thinking Creatively
Develop organizational goals or objectives.,0.37068908389745125,Develop organizational or program goals or objectives.,Thinking Creatively
Develop organizational methods or procedures.,-0.027048675130458832,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Develop organizational policies or programs.,-0.3746763081489619,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Develop patient therapy programs.,0.010390576324580625,Develop patient or client care or treatment plans.,Thinking Creatively
Develop performance metrics or standards related to information technology.,0.04154377318807567,Develop technical specifications for products or operations.,Thinking Creatively
Develop plans for programs or services.,-0.057392171839535155,Develop organizational or program goals or objectives.,Thinking Creatively
Develop plans to manage natural or renewable resources.,-0.21910304337887077,Develop plans for managing or preserving natural resources.,Thinking Creatively
"Develop policies or procedures for archives, museums or libraries.",0.052060426835655704,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop procedures for data entry or processing.,0.0,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop procedures for data management.,-0.05965234690233423,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop procedures to evaluate organizational activities.,0.07060606518174595,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop professional relationships or networks.,0.0966798276709877,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
Develop program goals or plans.,0.0,Develop organizational or program goals or objectives.,Thinking Creatively
Develop promotional materials.,-0.18740831967672866,Develop marketing or promotional materials.,Thinking Creatively
Develop promotional strategies for religious organizations.,0.1194085137728127,Develop business or marketing plans.,Thinking Creatively
Develop promotional strategies or plans.,0.5117233722039427,Develop business or marketing plans.,Thinking Creatively
Develop proposals for current or prospective customers.,0.035528142747850655,Prepare proposals or grant applications.,Documenting/Recording Information
"Develop safety standards, policies, or procedures.",-0.02981043378119219,"Develop safety standards, policies, or procedures.",Thinking Creatively
Develop scientific or mathematical models.,-0.006229650165093581,Develop scientific or mathematical theories or models.,Thinking Creatively
Develop software or applications for scientific or technical use.,-0.2732368938376375,Design computer or information systems or applications.,Thinking Creatively
Develop software or computer applications.,0.19009100359020614,Design computer or information systems or applications.,Thinking Creatively
Develop specifications for computer network operation.,0.07279636408469647,Develop technical specifications for products or operations.,Thinking Creatively
Develop specifications for new products or processes.,-0.004405347113917379,Develop technical specifications for products or operations.,Thinking Creatively
Develop specifications or procedures for website development or maintenance.,-0.11616890382175127,Develop technical specifications for products or operations.,Thinking Creatively
Develop strategies or programs for students with special needs.,-0.13443064888438672,"Develop educational programs, plans, or procedures.",Thinking Creatively
Develop sustainable business strategies or practices.,-0.0023607018318001494,Develop sustainable organizational or business policies or practices.,Thinking Creatively
Develop sustainable industrial or development methods.,0.078103328273599,Develop sustainable organizational or business policies or practices.,Thinking Creatively
Develop sustainable organizational policies or practices.,-0.0286391323845665,Develop sustainable organizational or business policies or practices.,Thinking Creatively
Develop technical methods or processes.,0.23557251962750225,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop technical or scientific databases.,-0.030442836593661315,Design databases.,Thinking Creatively
Develop technical processes to improve the efficiency of biofuel production.,0.0,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop technical specifications for systems or equipment.,0.1851694175974461,Develop technical specifications for products or operations.,Thinking Creatively
Develop testing routines or procedures.,-0.3834281074294186,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Develop theories or models of physical phenomena.,-0.06284695677332053,Develop scientific or mathematical theories or models.,Thinking Creatively
Develop tools to diagnose or assess needs.,-0.018950182376020308,Develop health assessment methods or programs.,Thinking Creatively
Develop training materials.,0.0,Prepare informational or instructional materials.,Documenting/Recording Information
Develop treatment plans for patients or clients.,0.003721621394289887,Develop patient or client care or treatment plans.,Thinking Creatively
Develop treatment plans that use non-medical therapies.,0.07505677030569569,Develop patient or client care or treatment plans.,Thinking Creatively
Develop working relationships with others to facilitate program activities.,0.24064475983563316,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
Devise research or testing protocols.,-0.43950074395491745,Develop research plans or methodologies.,Thinking Creatively
Diagnose dental conditions.,-0.003185548872763899,Diagnose health conditions or disorders.,Making Decisions and Solving Problems
Diagnose equipment malfunctions.,-0.060926226988530896,Diagnose system or equipment problems.,Making Decisions and Solving Problems
Diagnose medical conditions.,-0.18945515653046696,Diagnose health conditions or disorders.,Making Decisions and Solving Problems
Diagnose neural or psychological disorders.,-0.0539770891703375,Diagnose health conditions or disorders.,Making Decisions and Solving Problems
Dig holes or trenches.,0.07617595386947862,Perform general construction or extraction activities.,Performing General Physical Activities
"Direct activities of agricultural, forestry, or fishery employees.",0.6009880025283771,Manage agricultural or forestry operations.,"Guiding, Directing, and Motivating Subordinates"
Direct activities of subordinates.,-0.02916116501197452,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates"
Direct administrative or support services.,0.3553785714520714,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct construction activities.,0.14657905174478625,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates"
Direct construction or extraction personnel.,0.560497932595561,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates"
Direct courtroom activities or procedures.,-0.007289351397688826,Direct legal activities.,"Guiding, Directing, and Motivating Subordinates"
Direct criminal investigations.,0.012854372917709078,Direct legal activities.,"Guiding, Directing, and Motivating Subordinates"
Direct department activities.,0.2668108554787403,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct design or development activities.,-0.15123503445811037,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct emergency management activities.,-0.27614081469106466,Direct security or safety activities or operations.,"Guiding, Directing, and Motivating Subordinates"
Direct employee training programs.,-0.014171528485756202,Manage human resources activities.,"Guiding, Directing, and Motivating Subordinates"
Direct energy production or management activities.,-0.08886892011216263,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct environmental development activities.,-0.0015688180441539856,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct equipment maintenance or repair activities.,0.0029047105759523184,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct facility maintenance or repair activities.,0.13660861807300195,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct financial operations.,0.4052462718323375,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
Direct fire fighting or prevention activities.,0.07421575508742695,Direct security or safety activities or operations.,"Guiding, Directing, and Motivating Subordinates"
Direct fundraising or financing activities.,-0.06852397405589095,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
Direct funeral or mortuary activities.,-0.3337687736994597,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct green energy production operations.,0.0,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct healthcare delivery programs.,0.10656839617458402,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct industrial production activities.,0.20497587196311517,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct installation activities.,-0.015199050459263841,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates"
Direct law enforcement activities.,-0.03108540741249577,Direct legal activities.,"Guiding, Directing, and Motivating Subordinates"
Direct maintenance and repair activities in green energy production facilities.,0.0,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct maintenance or repair activities.,-0.11186972303934484,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct material handling or moving activities.,-0.10263237941827219,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct medical science or healthcare programs.,0.06360303321692751,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct natural resources extraction projects.,-0.019328367639865007,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates"
Direct natural resources management or conservation programs.,-0.06987196722007827,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct operational or production activities.,-1.323053434074147,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct operations of correctional facilities.,-0.02361025996368138,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
"Direct organizational operations, projects, or services.",-0.8414651617860622,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct passenger or freight transport activities.,0.12830130467100664,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct productions or performances.,0.19013309648373156,Coordinate artistic or entertainment activities.,"Guiding, Directing, and Motivating Subordinates"
Direct quality control activities.,0.2774580527395587,Manage control systems or activities.,"Guiding, Directing, and Motivating Subordinates"
"Direct sales, marketing, or customer service activities.",0.7359192317977459,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
Direct scientific activities.,0.0005318188112073408,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct security operations.,-0.036981707937262964,Direct security or safety activities or operations.,"Guiding, Directing, and Motivating Subordinates"
Direct surveying activities.,-0.0006499596636300176,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct technical activities or operations.,0.06499398553320557,Direct scientific or technical activities.,"Guiding, Directing, and Motivating Subordinates"
Direct vehicle traffic.,-0.37137829744451256,Direct vehicle traffic.,Handling and Moving Objects
Disassemble equipment for maintenance or repair.,-0.4133868509192049,Disassemble equipment.,Handling and Moving Objects
Disassemble equipment to inspect for deficiencies.,0.030931560413858694,Disassemble equipment.,Handling and Moving Objects
Disburse funds from clients accounts to creditors.,0.06700412958186197,Execute financial transactions.,Performing Administrative Activities
Discuss account status or activity with customers or patrons.,0.14259102461061346,"Provide information to guests, clients, or customers.",Communicating with Persons Outside Organization
"Discuss business strategies, practices, or policies with managers.",0.8806486995964984,Communicate with others about business strategies.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss child development and behavior with parents or guardians.,0.004007013774318224,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Discuss design or technical features of products or services with technical personnel.,0.13063436288571761,Communicate with others about specifications or project details.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss designs or plans with clients.,-0.10199394036266973,Confer with clients to determine needs or order specifications.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss goods or services information with customers or patrons.,0.15186911083146581,Explain technical details of products or services.,Interpreting the Meaning of Information for Others
"Discuss performance, complaints, or violations with supervisors.",0.0903754689738756,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss problems or issues with supervisors.,-0.09277381955254294,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss production content and progress with others.,-0.11432186607323525,Communicate with others about specifications or project details.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss service options or needs with clients.,-0.25987076299094447,Confer with clients to determine needs or order specifications.,"Communicating with Supervisors, Peers, or Subordinates"
Discuss student progress with parents or guardians.,0.22686232175399734,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others
Dismantle equipment or temporary structures.,-0.10222282706512109,Disassemble equipment.,Handling and Moving Objects
Dismantle heavy equipment or machinery.,-0.12824677219647818,Disassemble equipment.,Handling and Moving Objects
Display student work.,-0.08682519334551264,"Set up classrooms, facilities, educational materials, or equipment.",Handling and Moving Objects
Dispose of biomedical waste in accordance with standards.,-0.06817935421544608,Dispose of waste or debris.,Performing General Physical Activities
Dispose of hazardous materials.,0.09499083773245198,Dispose of waste or debris.,Performing General Physical Activities
Dispose of trash or waste materials.,0.15519727068736522,Dispose of waste or debris.,Performing General Physical Activities
Distribute incoming mail.,-0.07533401362267034,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Distribute instructional or library materials.,0.07836773096507343,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Distribute materials to employees or customers.,0.1507670847303091,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Distribute promotional literature or samples to customers.,-0.4113153390473534,"Promote products, services, or programs.",Selling or Influencing Others
Distribute resources to patrons or employees.,0.09298950046219412,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Distribute supplies to workers.,0.028140638605588464,"Distribute materials, supplies, or resources.",Monitoring and Controlling Resources
Document client health or progress.,0.12351871608376319,Prepare health or medical documents.,Documenting/Recording Information
Document design or development procedures.,-0.16761411365027312,"Document technical designs, procedures, or activities.",Documenting/Recording Information
Document design or operational test results.,0.21480454867516885,"Document technical designs, procedures, or activities.",Documenting/Recording Information
"Document events or evidence, using photographic or audiovisual equipment.",-0.35751795813376175,Record images with photographic or audiovisual equipment.,Documenting/Recording Information
Document information related to legal proceedings.,-0.03955441127085457,Record information about legal matters.,Documenting/Recording Information
Document legal or regulatory information.,-0.04880735268553682,Prepare legal or regulatory documents.,Documenting/Recording Information
Document lesson plans.,0.0486413369560319,Prepare informational or instructional materials.,Documenting/Recording Information
Document network-related activities or tasks.,-0.005868687375391257,"Document technical designs, procedures, or activities.",Documenting/Recording Information
Document operational activities.,0.11498654314867274,Maintain operational records.,Documenting/Recording Information
Document operational procedures.,-0.24205409663444888,Maintain operational records.,Documenting/Recording Information
Document organizational or operational procedures.,0.12940364902861035,Maintain operational records.,Documenting/Recording Information
Document technical design details.,-0.5120392476461966,"Document technical designs, procedures, or activities.",Documenting/Recording Information
Document technical specifications or requirements.,0.0418872751574324,"Document technical designs, procedures, or activities.",Documenting/Recording Information
Document test results.,-0.0020481291637799437,"Document technical designs, procedures, or activities.",Documenting/Recording Information
Document work hours or activities.,-0.3017222629486782,Maintain operational records.,Documenting/Recording Information
Download data.,-0.08832824241543591,Process digital or online data.,Interacting With Computers
Draft legislation or regulations.,-0.05679113097370525,Draft legislation or regulations.,Developing Objectives and Strategies
Draw detailed or technical illustrations.,-1.1021989909603396,Create visual designs or displays.,Thinking Creatively
Draw guide lines or markings on materials or workpieces using patterns or other references.,0.5072596939594254,Position materials or components for assembly.,Handling and Moving Objects
Drill holes in construction materials.,0.18937366833416514,Drill holes in earth or materials.,Handling and Moving Objects
Drill holes in earth or rock.,-0.04076579104679956,Drill holes in earth or materials.,Handling and Moving Objects
